Week,Day,Date,Type,Link text,URL
4,1,26-Jun,Video,Linked lists,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=254ea75c-12a1-456c-b91d-ae230027a0c6
4,1,26-Jun,Slides,Linked lists,slides/day16_linked_lists.pdf
4,1,26-Jun,Recap,Day 17,questions/day17.html
4,1,26-Jun,Exercise,Exercise 17,exercise/ex17.html
4,1,26-Jun,Video,More Linked lists,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=06994aeb-6743-4fcd-b69f-ae2300279d42
4,1,26-Jun,Slides,More Linked lists,slides/day17_more_linked_lists.pdf
4,1,26-Jun,Recap,Day 18,questions/day18.html
4,1,26-Jun,Exercise,Exercise 18,exercise/ex18.html
4,1,26-Jun,LectureSlides,Day 09 Notes,slides/summer23_slides/summer23_day17-18_session09.pdf
4,1,26-Jun,Recording,day9-lecture, https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d6416e0b-eb82-4a4e-aaa7-b02d011815cc

4,2,28-Jun,Video,N/A,#
4,2,28-Jun,Slides,N/A,#
4,2,28-Jun,Recap,N/A,#
4,2,28-Jun,Exercise,Midterm Project,assign/midterm.html
4,3,30-Jun,Video,N/A,#
4,3,30-Jun,Slides,N/A,#
4,3,30-Jun,Recap,N/A,#
4,3,30-Jun,Exercise,Midterm Project,assign/midterm.html
4,3,30-Jun,Resource,Midterm Review Solutions,resources/MidtermReview-solutions.pdf
4,3,30-Jun,Resource,Fall 2019 Midterm Solutions,resources/Midterm-Fall2019-solutions.pdf
4,3,30-Jun,LectureSlides,Day 11 Notes,slides/summer23_slides/summer23_day21_session11.pdf
4,3,30-Jun,Recording,day11-lecture, https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f043d7bf-7372-4598-aa5e-b03101103b06 

5,1,3-Jul,Video,Introduction to C++,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2760c264-312d-49f2-9e43-ae2300279acb
5,1,3-Jul,Video,C++ Strings,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=954ea030-61b3-482d-96e8-ae2300279a4f
5,1,3-Jul,Slides,Introduction to C++,slides/day22_intro_cpp.pdf
5,1,3-Jul,Slides,C++ Strings,slides/day22_cpp_strings.pdf
5,1,3-Jul,Recap,Day 22,questions/day22.html
5,1,3-Jul,LectureSlides,"Day 13 Notes",slides/summer23_slides/summer23_day22_session13.pdf
5,1,3-Jul,Recording,day13-lecture, https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=218b76a7-7b04-4813-af3d-b034011239e6 

5,2,5-Jul,Exercise,Midterm Exam,#

5,3,7-Jul,Video,Introduction to STL and templates,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=04905da6-f193-4a6e-9f3e-ae2300279736
5,3,7-Jul,Slides,Introduction to STL and templates,slides/day23_stl_templates.pdf
5,3,7-Jul,Recap,Day 23,questions/day23.html
5,3,7-Jul,Exercise,Exercise 23,exercise/ex23.html
5,3,7-Jul,Video,"STL Containers - map, pair, and tuple",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c12342a6-6af3-4859-9da6-ae2300279661
5,3,7-Jul,Video,STL Algorithms,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c08d312c-963d-485b-84bf-ae23002796be
5,3,7-Jul,Slides,"STL Containers - map, pair, and tuple",slides/day24_more_stl_containers.pdf
5,3,7-Jul,Slides,STL Algorithms,slides/day24_stl_algorithms.pdf
5,3,7-Jul,Recap,Day 24,questions/day24.html
5,3,7-Jul,Exercise,Exercise 24,exercise/ex24.html
5,3,7-Jul,LectureSlides,"Day 15 Notes",slides/summer23_slides/summer23_day23-24_session15.pdf
5,3,7-Jul,Recording,day15-lecture, https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=81e3de09-8482-476f-a134-b0380111a4a1 
5,3,7-Jul,Recording,day15-lecture-supplement, https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e59bbf9a-c9c2-4191-a7fb-b03d004de648 


6,1,10-Jul,Video,C++ I/O stream and stringstream,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f35cdf8e-80d0-4d88-b9e3-ae2300279562
6,1,10-Jul,Video,Intro to Object Oriented Programming,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=090adf84-0330-4c2f-9c73-ae230027a599
6,1,10-Jul,Slides,C++ I/O stream and stringstream,slides/day25_cpp_file_io_stringstream.pdf
6,1,10-Jul,Slides,Intro to Object Oriented Programming,slides/day25_intro_to_oo.pdf
6,1,10-Jul,Recap,Day 25,questions/day25.html
6,1,10-Jul,Exercise,Exercise 25,exercise/ex25.html
6,1,10-Jul,Video,References,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4fcd7033-f754-429f-b55b-ae230027a516
6,1,10-Jul,Video,Dynamic Memory Allocation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d9978853-6c9b-4cc3-b62d-ae230027a4cc
6,1,10-Jul,Slides,References,slides/day26_cpp_reference.pdf
6,1,10-Jul,Slides,Dynamic Memory Allocation,slides/day26_dynamic_memory_allocation.pdf
6,1,10-Jul,Recap,Day 26,questions/day26.html
6,1,10-Jul,Exercise,Exercise 26,exercise/ex26.html
6,1,10-Jul,Recording,day16-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=324f89c3-818b-44b8-b10b-b03b01127cf5


6,2,12-Jul,Video,C++ Classes,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5a1a7afe-6165-4e33-9567-ae230027a431
6,2,12-Jul,Video,Default Constructors,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0e485b33-028d-45e6-be18-ae230027a3d3
6,2,12-Jul,Slides,C++ Classes,slides/day27_cpp_classes.pdf
6,2,12-Jul,Slides,Default Constructors,slides/day27_default_constructor.pdf
6,2,12-Jul,Recap,Day 27,questions/day27.html
6,2,12-Jul,Exercise,Exercise 27,exercise/ex27.html
6,2,12-Jul,LectureSlides,"Day 27 Notes (Sec 03)",slides/notes/sp23_day27_sec03.pdf
6,2,12-Jul,LectureSlides,"Day 27 Notes (Sec 04)",slides/notes/sp23_day27_sec04.pdf
6,2,12-Jul,Video,Constructors and default arguments,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=62080530-d06e-4a0e-be06-ae230027a050
6,2,12-Jul,Video,Destructors,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2ea9792a-afab-4319-85f1-ae2300279fe3
6,2,12-Jul,Slides,Constructors and default arguments,slides/day28_constructors.pdf
6,2,12-Jul,Slides,Destructors,slides/day28_destructors.pdf
6,2,12-Jul,Recap,Day 28,questions/day28.html
6,2,12-Jul,Exercise,Exercise 28,exercise/ex28.html
6,2,12-Jul,LectureSlides,"Day 28 Notes (Sec 03)",slides/notes/sp23_day28_sec03.pdf
6,2,12-Jul,LectureSlides,"Day 28 Notes (Sec 04)",slides/notes/sp23_day28_sec04.pdf

6,3,14-Jul,Video,Function overloading,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2c8031d1-8509-4b22-881b-ae2300279f65
6,3,14-Jul,Video,Operator overloading,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ee4c0ea7-24f8-426a-9291-ae2300279f0e
6,3,14-Jul,Slides,Function overloading,slides/day29_function_overloading.pdf
6,3,14-Jul,Slides,Operator overloading,slides/day29_operator_overloading.pdf
6,3,14-Jul,Recap,Day 29,questions/day29.html
6,3,14-Jul,Exercise,Exercise 29,exercise/ex29.html
6,3,14-Jul,LectureSlides,"Day 29 Notes (Sec 03)",slides/notes/sp23_day29_sec03.pdf
6,3,14-Jul,LectureSlides,"Day 29 Notes (Sec 04)",slides/notes/sp23_day29_sec04.pdf
6,3,14-Jul,Video,Initialization and assignment,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f9091b95-ab29-46fe-82b8-ae2300279e93
6,3,14-Jul,Video,Rule of 3,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=181313b7-6b07-400c-addf-ae2300279df3
6,3,14-Jul,Slides,Initialization and assignment,slides/day30_initialization_assignments.pdf
6,3,14-Jul,Slides,Rule of 3,slides/day30_rule_of_3.pdf
6,3,14-Jul,Recap,Day 30,questions/day30.html
6,3,14-Jul,Exercise,Exercise 30,exercise/ex30.html
6,3,14-Jul,LectureSlides,"Day 30 Notes (Sec 03)",slides/notes/sp23_day30_sec03.pdf
6,3,14-Jul,LectureSlides,"Day 30 Notes (Sec 04)",slides/notes/sp23_day30_sec04.pdf

7,1,17-Jul,Video,Template functions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fed0c83c-bcd8-4341-8b0e-ae2300279cf6
7,1,17-Jul,Video,Template classes,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=06bf6f38-8f76-4b19-80f4-ae2300279c79
7,1,17-Jul,Slides,Template functions,slides/day31_template_functions.pdf
7,1,17-Jul,Slides,Template classes,slides/day31_template_classes.pdf
7,1,17-Jul,Recap,Day 31,questions/day31.html
7,1,17-Jul,Exercise,Exercise 31,exercise/ex31.html
7,1,17-Jul,LectureSlides,"Day 31 Notes (Sec 03)",slides/notes/sp23_day31_sec03.pdf
7,1,17-Jul,LectureSlides,"Day 31 Notes (Sec 04)",slides/notes/sp23_day31_sec04.pdf
7,1,17-Jul,Video,Inheritance,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7cdea279-e109-4ba8-b99d-ae2300279bea
7,1,17-Jul,Video,Polymorphism,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=873d6ec0-a562-47f2-b098-ae2300279b28
7,1,17-Jul,Slides,Inheritance,slides/day32_inheritance.pdf
7,1,17-Jul,Slides,Polymorphism,slides/day32_polymorphism.pdf
7,1,17-Jul,Recap,Day 32,questions/day32.html
7,1,17-Jul,Exercise,Exercise 32,exercise/ex32.html
7,1,17-Jul,LectureSlides,"Day 32 Notes (Sec 03)",slides/notes/sp23_day32_sec03.pdf
7,1,17-Jul,LectureSlides,"Day 32 Notes (Sec 04)",slides/notes/sp23_day32_sec04.pdf

7,2,19-Jul,Video,Dynamic dispatch,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=162dba01-3c6a-4358-8179-ae23002799fe
7,2,19-Jul,Video,Function hiding and abstract classes,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0e849f80-9dec-47c1-aaac-ae2300279986
7,2,19-Jul,Video,Virtual destructors,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5d6fdb70-910c-4823-b4a0-ae23002797a1
